city.index,city.name,state,latitude.deg,longitude.deg,elevation.m
1,New York,NY,40.664274,-73.9385,30
2,Los Angeles,CA,34.019394,-118.410825,27
3,Chicago,IL,41.837551,-87.681844,183
4,Houston,TX,29.780472,-95.386342,18
5,Philadelphia,PA,40.009376,-75.133346,31
6,Phoenix,AZ,33.572162,-112.087966,379
7,San Antonio,TX,29.472403,-98.525142,229
8,San Diego,CA,32.8153,-117.134993,128
9,Dallas,TX,32.794176,-96.765503,155
10,San Jose,CA,37.296867,-121.819306,55
11,Austin,TX,30.307182,-97.755996,193
12,Jacksonville,FL,30.337019,-81.661302,2
13,San Francisco,CA,37.77492,-122.41941,16
14,Indianapolis,IN,39.776664,-86.145935,226
15,Columbus,OH,39.984799,-82.985044,245
16,Fort Worth,TX,32.779542,-97.346335,173
17,Charlotte,NC,35.208707,-80.830739,227
18,Seattle,WA,47.620499,-122.350876,43
19,Denver,CO,39.761849,-104.880625,1615
20,El Paso,TX,31.84836,-106.426979,1183
21,Detroit,MI,42.383037,-83.102237,207
22,Washington D.C.,DC,38.904149,-77.017094,59
23,Boston,MA,42.33196,-71.020173,3
24,Memphis ,TN,35.103543,-89.978498,109
25,Nashville-Davidson,TN,36.1718,-86.785002,129
26,Portland,OR,45.536951,-122.649971,65
27,Oklahoma City,OK,35.467079,-97.513657,373
28,Las Vegas,NV,36.227712,-115.264045,719
29,Baltimore,MD,39.300213,-76.610516,37
30,Louisville,KY,38.178077,-85.666708,150
31,Milwaukee ,WI,43.063348,-87.966695,219
32,Albuquerque,NM,35.105552,-106.647388,1514
33,Tucson,AZ,32.154289,-110.871062,821
34,Fresno,CA,36.782674,-119.794492,100
35,Sacramento,CA,38.566592,-121.468632,11
36,Kansas City,MO,39.125212,-94.551136,228
37,Long Beach,CA,33.809102,-118.155327,20
38,Mesa,AZ,33.401926,-111.717379,408
39,Atlanta,GA,33.762909,-84.422675,306
40,Colorado Springs,CO,38.867255,-104.760749,1934
41,Virginia Beach,VA,36.779322,-76.02402,7
42,Raleigh,NC,35.830204,-78.641439,101
43,Omaha,NE,41.264675,-96.041927,321
44,Miami,FL,25.775163,-80.208615,3
45,Oakland,CA,37.769857,-122.22564,25
46,Minneapolis ,MN,44.963323,-93.268284,265
47,Tulsa,OK,36.127949,-95.902316,226
48,Wichita,KA,37.690694,-97.342678,400
49,New Orleans,LA,30.068636,-89.939007,3
50,Arlington,TX,32.700708,-97.124691,214
51,Madison,WI,43.087806,-89.430121,284
