"","precipitation","logETP","wet.fraction","corr.PtoET0.3day","corr.PtoET0.5day","corr.PtoET0.7day","corr.PtoET0.30day","burstiness","memory","nstorms","mean.antecedent","mean.duration","mean.depth","mean.intensity.avg","mean.intensity.max","total.diff.max.avg.intensity","mean.diff.max.avg.intensity","pcnt.stormdepth.depth.over.4.5mm","pcnt.stormdepth.depth.over.5mm","pcnt.stormdepth.depth.over.5.5mm","pcnt.stormdepth.depth.over.6mm","pcnt.stormdepth.depth.over.0.25in","pcnt.stormdepth.depth.over.7mm","pcnt.stormdepth.depth.over.10mm","pcnt.stormdepth.depth.over.0.5in","pcnt.stormdepth.depth.over.1in","pcnt.nstorms.depth.over.4.5mm","pcnt.nstorms.depth.over.5mm","pcnt.nstorms.depth.over.5.5mm","pcnt.nstorms.depth.over.6mm","pcnt.nstorms.depth.over.0.25in","pcnt.nstorms.depth.over.7mm","pcnt.nstorms.depth.over.10mm","pcnt.nstorms.depth.over.0.5in","pcnt.nstorms.depth.over.1in","pcnt.wethours.over.4.5mm","pcnt.wethours.over.5mm","pcnt.wethours.over.5.5mm","pcnt.wethours.over.6mm","pcnt.wethours.over.0.25in","pcnt.wethours.over.7mm","pcnt.wethours.over.10mm","pcnt.wethours.over.0.5in","pcnt.wethours.over.1in","pcnt.rain.depth.over.4.5mm","pcnt.rain.depth.over.5mm","pcnt.rain.depth.over.5.5mm","pcnt.rain.depth.over.6mm","pcnt.rain.depth.over.0.25in","pcnt.rain.depth.over.7mm","pcnt.rain.depth.over.10mm","pcnt.rain.depth.over.0.5in","pcnt.rain.depth.over.1in","pcnt.stormdepth.intensity.over.4.5mm","pcnt.stormdepth.intensity.over.5mm","pcnt.stormdepth.intensity.over.5.5mm","pcnt.stormdepth.intensity.over.6mm","pcnt.stormdepth.intensity.over.0.25in","pcnt.stormdepth.intensity.over.7mm","pcnt.stormdepth.intensity.over.10mm","pcnt.stormdepth.intensity.over.0.5in","pcnt.stormdepth.intensity.over.1in","pcnt.nstorms.intensity.over.4.5mm","pcnt.nstorms.intensity.over.5mm","pcnt.nstorms.intensity.over.5.5mm","pcnt.nstorms.intensity.over.6mm","pcnt.nstorms.intensity.over.0.25in","pcnt.nstorms.intensity.over.7mm","pcnt.nstorms.intensity.over.10mm","pcnt.nstorms.intensity.over.0.5in","pcnt.nstorms.intensity.over.1in","pcnt.50.rain.depth","pcnt.60.rain.depth","pcnt.67.rain.depth","pcnt.70.rain.depth","pcnt.75.rain.depth","pcnt.80.rain.depth","pcnt.85.rain.depth","pcnt.90.rain.depth","pcnt.95.rain.depth","pcnt.50.storm.depth","pcnt.60.storm.depth","pcnt.67.storm.depth","pcnt.70.storm.depth","pcnt.75.storm.depth","pcnt.80.storm.depth","pcnt.85.storm.depth","pcnt.90.storm.depth","pcnt.95.storm.depth"
"precipitation",1,-0.89268240225425,0.740482363545343,0.137918088685887,0.169017416843646,0.18826973361443,0.238809905089289,-0.704385787729878,-0.60325725481036,0.899932111336302,-0.89332183520796,0.165111766502418,0.574477413772593,0.313253670004067,0.499675223189192,0.883904165962654,0.553160301833742,0.480313062832943,0.483003993115952,0.507815280735729,0.506692092239299,0.507348316219153,0.507924562115197,0.551368361668171,0.538249098980909,0.519589029282466,0.368319774011767,0.374698445329464,0.401286255254428,0.405760234058475,0.407191894165132,0.412581685900264,0.476836331203198,0.485331121780783,0.498458744000725,0.522496903374282,0.522560644954006,0.5245227443537,0.522816629909783,0.524301099571595,0.522127113689641,0.523927773673799,0.497456117428824,0.274561454631878,0.485128395704648,0.484729407728389,0.486829554104912,0.483510882631784,0.484448462915329,0.482562884928643,0.485214679170026,0.465855603445133,0.270235711831489,0.28604075375407,0.282842650631728,0.281145423781334,0.25581691467906,0.254074403098934,0.24622503941865,0.189857404587727,0.134570369171688,0.0209058205577858,0.223454478939915,0.23113698838609,0.235661292584503,0.219873956174716,0.21990207873007,0.222099459177042,0.186179175395417,0.134291211068918,0.0208489045116855,0.507267408002363,0.499334238189446,0.500304175690321,0.496013413568598,0.488641739875598,0.487152473324765,0.487864639501586,0.48914929820539,0.50112737878265,0.584457010852017,0.586697512468972,0.597949471218488,0.603048327689693,0.613722351887472,0.625805858658809,0.636068670438928,0.65821759037009,0.688603351488769
"logETP",-0.89268240225425,1,-0.784904362147663,-0.117625835202629,-0.153778039472668,-0.173862322661038,-0.234210020988333,0.762302967749553,0.629996871739799,-0.851846252232978,0.850630302724953,-0.259936038869723,-0.476532764187818,-0.165739209174447,-0.319052035803288,-0.729510576765046,-0.375085639029507,-0.415773887044067,-0.418633955520139,-0.440483043246579,-0.435253744352901,-0.434585652135862,-0.42899449701865,-0.4643891228756,-0.443152637098166,-0.41536213087,-0.343929830457408,-0.350954642427738,-0.375715080614429,-0.375017811054149,-0.374215595646146,-0.371809483201159,-0.423505866267712,-0.420838253922059,-0.41306853917582,-0.350252535100801,-0.351017394434048,-0.353278656304188,-0.34956466447559,-0.35260427688367,-0.351460480118018,-0.364918749340651,-0.340367801176231,-0.188631078394558,-0.309743050661235,-0.310534313787108,-0.313740349938118,-0.310036499133699,-0.31304692842571,-0.313775220843032,-0.331953400866385,-0.315085964686743,-0.188217219781121,-0.188403144100317,-0.190375515814689,-0.201418189247653,-0.180608048965669,-0.186347850010996,-0.192531563603956,-0.172586843815932,-0.114471032700263,0.00748319558380334,-0.14111585577247,-0.153080317054736,-0.167028871517384,-0.154769691915158,-0.160578064171039,-0.173788993897345,-0.169259052506597,-0.114502277044328,0.00751203337169918,-0.326776587060211,-0.318964533843314,-0.320514349376774,-0.317495045460144,-0.311488600073123,-0.308961176089942,-0.312373774379348,-0.3181157311556,-0.337945639750003,-0.482001179561914,-0.480686799388332,-0.485205838758997,-0.4875690757014,-0.499116368473453,-0.509031513441765,-0.522442784655324,-0.545986868175641,-0.576822693617566
"wet.fraction",0.740482363545343,-0.784904362147663,1,0.0858950689200769,0.116311714161459,0.132228082526083,0.17255958452672,-0.728297110651266,-0.669251337772158,0.750642342634309,-0.765760186238942,0.532721184952389,0.264153081557267,-0.200634012405671,-0.0576104353129375,0.466434296275514,0.0400941274240865,0.213307602330441,0.212323375743709,0.223288064693148,0.218154448303365,0.215734668025323,0.213332418964343,0.248328384473487,0.234284900103721,0.242832167569635,0.182414174273771,0.180424128867913,0.184262432661848,0.177220143127002,0.172391641385496,0.170811413853764,0.210340609068014,0.203828803294157,0.219932421923552,-0.0707682264922793,-0.0639914602235539,-0.0568263395702084,-0.0531155795208108,-0.0454429601694693,-0.0400959714621762,0.00896410664700084,0.00245175689468585,-0.00168785568848841,-0.0788467428919899,-0.0705463894571331,-0.0606476562757655,-0.0565087752152187,-0.0489610494603677,-0.0407180283400698,0.0132999084720148,0.0122503768829508,0.00504776828973621,-0.0753300618530768,-0.0361751798399805,0.00348732402871557,0.0106355193747608,0.0249099765401891,0.057964936816327,0.0992873441255339,0.062286995996926,-0.0249037534465978,-0.0494651503170467,-0.0091641100614523,0.0267947228324527,0.0341536700751761,0.0437940543710495,0.0709392884099284,0.100151922784123,0.0627486748776442,-0.0250477242954542,-0.0920216165690144,-0.0925629253685129,-0.0831067590009966,-0.0830914107775346,-0.0825116035123672,-0.073902229786936,-0.0571881389831708,-0.035252564715824,0.0118971951284764,0.299675781846527,0.308907520293082,0.313533872159144,0.3178592682956,0.337427843265137,0.354879035841876,0.371546210483575,0.39453097622571,0.423628298615322
"corr.PtoET0.3day",0.137918088685887,-0.117625835202629,0.0858950689200769,1,0.991253100692026,0.979132799901603,0.914081736772672,-0.282444672316231,-0.162157913707176,0.217824148795019,-0.177585982291578,-0.37679220969997,-0.179613488041218,0.210849465219078,0.194692308331348,0.269897759113334,0.185851244538252,-0.18610889695974,-0.189720238953948,-0.182741514335994,-0.177372691800349,-0.180051012729365,-0.182311166696407,-0.163713672423563,-0.176842232810753,-0.148335142199693,-0.159396361933118,-0.166290129245936,-0.166245754919715,-0.159894898314542,-0.163061192507255,-0.168360969384656,-0.157531295015029,-0.178566432434505,-0.156849052511336,0.19375557304221,0.202088112263681,0.210330590772902,0.216607034675627,0.222615990070693,0.229190423873204,0.231212734022959,0.221230286127568,0.0857610624529497,0.247271067924692,0.25119002644557,0.255472612376242,0.25680449571678,0.260117431144789,0.259280240738418,0.241699617496643,0.223384842035681,0.0848282496316748,0.230940537970962,0.192606641713691,0.155032195491862,0.1287606101828,0.114272340052536,0.0883226897828978,0.021498079400448,0.0287637666347633,0.00683601796058564,0.13888487503248,0.116311649005276,0.0908653784495794,0.0737811109606048,0.0586763364492681,0.0480808432026955,0.00984416170292329,0.0247933253514511,0.00658325080543545,0.183057956207113,0.204331277755445,0.217652465589271,0.22359471755977,0.231881738079229,0.242014575131113,0.247625125523057,0.251433715980844,0.253595484248309,-0.141790148603752,-0.145624897424505,-0.130060401044683,-0.125924815533141,-0.120141309209938,-0.1011289051519,-0.0900838004678427,-0.0826948811998648,-0.0744980839395798
"corr.PtoET0.5day",0.169017416843646,-0.153778039472668,0.116311714161459,0.991253100692026,1,0.99633594095394,0.943838322077854,-0.310927183673167,-0.178282427760764,0.246156066914465,-0.205566643902243,-0.355507901431675,-0.150050027579441,0.215927443027917,0.214223558913756,0.302025341298264,0.21122642799709,-0.155281957738685,-0.158661036954221,-0.152694928111111,-0.148614445921476,-0.15167933190447,-0.154105096789239,-0.135202468893116,-0.149872953476147,-0.121764175278341,-0.129564243470275,-0.135713864482417,-0.137040273191342,-0.132088692850302,-0.135566591375687,-0.140646028607095,-0.128111495650825,-0.150069942295448,-0.127726417428998,0.212855871053217,0.220574122055578,0.229378336789277,0.234981674714093,0.241197907682285,0.247668191779217,0.253225425718438,0.243227748946211,0.0882730671784873,0.264437723922587,0.267892716014581,0.2729747423875,0.273759364352028,0.277310922934538,0.276775735124092,0.263363585761058,0.244767887237103,0.0875531748725169,0.240304943135808,0.200131234386324,0.162693860085484,0.133443979795387,0.119325478410812,0.0933462024305958,0.0215084748860009,0.0264971806174663,0.000940551113552066,0.145102988481055,0.121560362034116,0.0969902490242719,0.076703337837097,0.0622246782630594,0.0520617229590085,0.00941886955754144,0.0224735296968866,0.000685643405254195,0.203109148321681,0.224545083758557,0.237909285598648,0.24346017917398,0.251004472570054,0.260781929460742,0.265711730647692,0.269230091047922,0.273876127585586,-0.111891755746913,-0.117142907043483,-0.10118717336424,-0.0974936033645776,-0.0926295360181256,-0.074012297722153,-0.0628599675996776,-0.0555727253738423,-0.0468401996286846
"corr.PtoET0.7day",0.18826973361443,-0.173862322661038,0.132228082526083,0.979132799901603,0.99633594095394,1,0.959605899355794,-0.325207572967882,-0.184661733234397,0.261999652930831,-0.221289216043803,-0.343428173725452,-0.130148615160694,0.220474394671238,0.2270405426683,0.32195766503048,0.227723669169501,-0.136344962381948,-0.139682134354131,-0.133622414719558,-0.12998729690317,-0.133482183582312,-0.13600998401076,-0.11612591686187,-0.130889532224339,-0.104449738126415,-0.113043968948255,-0.118922564548569,-0.119964167520876,-0.115517079718131,-0.119506964579329,-0.124443022195153,-0.110141745592811,-0.13136055445762,-0.109289946686775,0.225503794860931,0.232924132475584,0.2418353801431,0.247185470954701,0.253488585292677,0.260157594576613,0.268190425773015,0.257893270083354,0.0915163390309094,0.275919384005297,0.279194572858553,0.284572273171414,0.285205783465724,0.288828627221649,0.288752486086574,0.277972886901047,0.258806773721629,0.0907180683490575,0.24666405022158,0.20540452990276,0.168249664475592,0.137313795711486,0.122819156227757,0.0974746675437226,0.0225003970002355,0.0236113749343124,-0.00330972184550886,0.149087667845814,0.124858670326551,0.100761240476655,0.0791441956462679,0.0646473961333229,0.0552455027754468,0.0104885582381644,0.0196714530754767,-0.00356564147811759,0.215807799292566,0.237294871035827,0.250747815592999,0.256123105541963,0.263315383415776,0.272996487151581,0.277575964242505,0.281440761519492,0.287560842853071,-0.0914462537827505,-0.097715701714125,-0.0821601645602068,-0.0787046713373079,-0.0744543300102511,-0.0563642831739631,-0.0453381254590735,-0.0383906052383143,-0.0288694232094459
"corr.PtoET0.30day",0.238809905089289,-0.234210020988333,0.17255958452672,0.914081736772672,0.943838322077854,0.959605899355794,1,-0.359496816075748,-0.200847946392709,0.293654880280559,-0.254268165244628,-0.295023924457664,-0.0643486621091399,0.23112761197862,0.259190500563391,0.368022082838973,0.269670839683323,-0.0721785281255797,-0.0750244277276112,-0.0653273103838753,-0.0625390250397265,-0.0687645049697343,-0.0721875538801819,-0.0517109731687898,-0.0672475509711686,-0.0512167759933384,-0.0592367754276205,-0.0629737470767367,-0.0587468659583447,-0.0549759488646765,-0.0613950612939535,-0.0657917806043933,-0.0494254788409,-0.0670650277460393,-0.0480465374674034,0.254232701820875,0.262024379070706,0.271524862729594,0.27617645359469,0.282662199361002,0.29000710395713,0.302907615561968,0.288973893956941,0.0999490167053429,0.300848854785754,0.304310189642136,0.310837687001377,0.311036166565622,0.315039154446289,0.316318878948285,0.311807417586445,0.289834099932991,0.0994617931119768,0.258674639705639,0.221104775308419,0.188214774456702,0.152053118768521,0.13728590465522,0.115224123032709,0.0354913382135302,0.0228222709334683,-0.0182792653070661,0.158704348686146,0.137093468128641,0.117212624098923,0.0899751558850994,0.0776530336098633,0.070946764572539,0.0241630593507658,0.019678056433458,-0.0185331615154293,0.245858847312401,0.267421489472254,0.279654339738496,0.284725082714782,0.290600702178738,0.300204095069273,0.305884645112262,0.310640096001949,0.319845603462616,-0.025523430442428,-0.0395120212610056,-0.0269738685696326,-0.0239146182424976,-0.0216720308283773,-0.00635088837036289,0.00335627885010057,0.0104304405457635,0.0212063776503361
"burstiness",-0.704385787729878,0.762302967749553,-0.728297110651266,-0.282444672316231,-0.310927183673167,-0.325207572967882,-0.359496816075748,1,0.660672222551267,-0.788637428435898,0.783805174227205,-0.108657661171727,-0.13689532938871,-0.0752296359818701,-0.146120765063381,-0.584170847514654,-0.179117198038435,-0.124390525109939,-0.115068061374678,-0.11964852403847,-0.117669723151192,-0.120142920891858,-0.111410646425449,-0.140825189281283,-0.126718747849685,-0.111298707029293,-0.13138751853885,-0.120341580557171,-0.119456868584548,-0.117842429451725,-0.117165039747432,-0.10827481802432,-0.140310182071969,-0.132434852132122,-0.113581014240844,-0.191491224267944,-0.194189824988076,-0.193999701807586,-0.193157393642139,-0.196384048662102,-0.193784779500218,-0.205242391585635,-0.178815776259984,-0.0595778903131025,-0.169422294135245,-0.170985371073164,-0.171170094745919,-0.168753606698471,-0.170808022207601,-0.169868822726173,-0.183671836742741,-0.162725597252577,-0.0615395684828424,-0.118633786972968,-0.125321241305193,-0.140249550830315,-0.123703018509707,-0.124287453451018,-0.144057910462877,-0.140166316726156,-0.109720815716892,0.0229249293288325,-0.0808054112038061,-0.0953395066248407,-0.108646919870464,-0.1033815521213,-0.102987459522937,-0.127498726347744,-0.133366907004156,-0.107716603700535,0.0230877515664245,-0.158188514669665,-0.159502230915516,-0.16939453372078,-0.169813481696081,-0.167015595354404,-0.169183419880655,-0.176069256785943,-0.179678777625407,-0.200450612911057,-0.165966389224096,-0.16603694141844,-0.172604478441997,-0.178836791769883,-0.194411062905789,-0.206506684054322,-0.225050717694356,-0.254362720995518,-0.295390260197421
"memory",-0.60325725481036,0.629996871739799,-0.669251337772158,-0.162157913707176,-0.178282427760764,-0.184661733234397,-0.200847946392709,0.660672222551267,1,-0.768538099272475,0.759372211182737,-0.0746924348725986,0.044043121389025,-0.0184497555815062,-0.00770882696842927,-0.487839547610314,-0.0220617586925005,-0.0190153564050567,-0.0027609252081459,-0.00357946443649191,0.0109518189211855,0.0183017436332021,0.030950656497782,0.0281204201698271,0.0649301797576605,0.107093870325441,-0.0957834301534544,-0.0790323305930828,-0.0774092153936932,-0.06085002981565,-0.0512639046768915,-0.0372326869594468,-0.0367755847470974,-0.00221220036252005,0.0764981787737379,-0.0445272952707532,-0.0433559921196425,-0.038933476323476,-0.0380792464943942,-0.038518658014265,-0.0347094708548257,-0.0383103860962704,-0.0176575531002327,0.0314065445592989,0.0123070901330936,0.0120636881275649,0.0134631769317373,0.0150970054692448,0.013957848858517,0.0138891520847585,0.00156094746060632,0.014545907110101,0.0314791074763527,-0.0312683740634993,-0.055530377341823,-0.0651486699411893,-0.0661209326163023,-0.0678761969250054,-0.0823703391146678,-0.10368600090891,-0.0450913154089661,0.0394493709694224,-0.0405598898838294,-0.0593423157250677,-0.0639514277498427,-0.068097049653534,-0.0672640856314732,-0.0819966628102299,-0.100025976180909,-0.0425824552386217,0.0395158967614521,-0.0142242575549117,0.00305943388723207,0.0073126697229959,0.013223212755402,0.0234355834615093,0.0285884100220467,0.0296237687891545,0.0261751430407867,0.00148812290449392,0.0474126747107719,0.0545574409363688,0.0464336790870416,0.0433906534797023,0.022220263307756,0.00491432280219409,-0.0162067063743878,-0.051975340896558,-0.0999171568482962
"nstorms",0.899932111336302,-0.851846252232978,0.750642342634309,0.217824148795019,0.246156066914465,0.261999652930831,0.293654880280559,-0.788637428435898,-0.768538099272475,1,-0.984297289746203,0.00439686072866724,0.238434582956208,0.24199086592293,0.346807653391407,0.825321539694353,0.373845395464968,0.19112010846672,0.185914489844118,0.203733134511087,0.198456099385679,0.196845169077791,0.194040101887145,0.232392793578099,0.219091120359534,0.210514352811022,0.164999760040789,0.157435359433962,0.172588994078954,0.167507246083162,0.163987735112344,0.160887013582219,0.200831746964466,0.196963138822261,0.188899734598352,0.409417128237744,0.410908236742927,0.412124238477957,0.410474014656507,0.412411650297829,0.409287641613355,0.407616595189114,0.380409998942322,0.197591733205844,0.375365419003921,0.375807659970546,0.377464134734614,0.373709738064897,0.374927428932224,0.37205068370911,0.372577039253978,0.351847538142392,0.195493201008398,0.246173272773569,0.250237123068654,0.248551107173167,0.230987921891402,0.230248343271175,0.22885877814681,0.18652048463548,0.13852292107738,0.00963006583459037,0.175184432559604,0.189318811388155,0.19430924867332,0.187051002710594,0.186803281179673,0.196869664855807,0.175596766288165,0.134875626454798,0.00950969203234195,0.390474862313312,0.38439382401617,0.387800559427459,0.385595609502811,0.37881308822,0.377013611130214,0.37735982995166,0.37731608243493,0.391416543077672,0.272330850543765,0.279875263303017,0.298085919603345,0.30709999920567,0.326215790576618,0.346826743986996,0.369124032199503,0.408319876778265,0.456933662952792
